followers,likes,publisher,url
0,0,NBC New York,0
0,0,12news.com,0
0,0,Seattle Times,0
0,0,Cayman News Service,0
0,0,The Dickinson Press,0
0,0,SalemNews.net,0
0,0,Boulder Daily Camera,0
0,0,Latin American Herald Tribune,0
0,0,AP SÌ´åÌ´ånÌ´åÌ´ågalaise,0
0,0,Tnooz,0
0,0,Newsweek ME,0
0,0,The Journal,0
0,0,Atlanta Business Chronicle,0
0,0,The Hill (blog),0
0,0,WCAX-TV Vermont,0
0,0,teleSUR English,0
0,0,Highlands Today,0
0,0,Death and Taxes,0
0,0,Simcoe.com,0
0,0,Wall Street Pit,0
0,0,Toowoomba Chronicle,0
0,0,41 NBC News,0
0,0,Universe Today,0
0,0,The Moscow Times,0
0,0,Vogue.com,0
0,0,Business Insider via Yahoo! India News,0
0,0,Mondaq News Alerts (registration),0
0,0,The Capitol Fax Blog (blog),0
0,0,Money Marketing,0
0,0,SportTechie,0
0,0,wnep.com,0
0,0,Le Soleil,0
0,0,OSNews,0
0,0,InfoQ.com,0
0,0,SDPB Radio,0
0,0,Santa Fe New Mexican (blog),0
0,0,Jamaica Observer,0
0,0,BBC News,0
0,0,Post-Bulletin,0
0,0,Corvus Business Newswire,0
0,0,Times Record,0
0,0,Krebs on Security,0
0,0,Auburn Citizen (blog),0
0,0,CU Boulder News & Events,0
0,0,Victor Post,0
0,0,Grub Street,0
0,0,Central Florida Future,0
0,0,WWSB ABC 7,0
0,0,The Daily Banter,0
0,0,Wandsworth Guardian,0
0,0,Union of Concerned Scientists,0
0,0,ABC6OnYourSide.com,0
0,0,Modern Diplomacy,0
0,0,Macleans.ca,0
0,0,Redmond Channel Partner (blog),0
0,0,Yale Environment 360,0
0,0,CNBC via Yahoo Canada Finance,0
0,0,EnterpriseContentManagementConnection-ECM,0
0,0,Experts Exchange (blog),0
0,0,American Thinker (blog),0
0,0,UPI.com,0
0,0,Business Green,0
0,0,Beckley Register-Herald,0
0,0,Fredericksburg.com,0
0,0,Passport Magazine,0
0,0,TechCentral,0
0,0,Bharat Press,0
0,0,Business 2 Community,0
0,0,The News Tribune (blog),0
0,0,The New York Observer,0
0,0,Stars and Stripes,0
0,0,WXII-TV Winston-Salem,0
0,0,Cebu Tech Blogger,0
0,0,FXStreet,0
0,0,University Herald,0
0,0,International Adviser,0
0,0,Fox Sports,0
0,0,1340 WJOL,0
0,0,AmmoLand Shooting Sports News,0
0,0,The National Law Review,0
0,0,Herald Times Reporter,0
0,0,Honestreporting.com,0
0,0,JOC.com,0
0,0,Exchange News Direct,0
0,0,Juneau Empire (subscription),0
0,0,Daily Capital (Capital TV),0
0,0,The Ridgefield Press,0
0,0,NPR,0
0,0,Seacoastonline.com,0
0,0,Slashdot,0
0,0,Environmental News Network,0
0,0,Develop,0
0,0,Singapore Government Online (press release),0
0,0,Limerick Post,0
0,0,The People's Voice,0
0,0,U.S. Department of Education (press release) (blog),0
0,0,WTAE-TV Pittsburgh,0
0,0,Fox 28,0
0,0,89.3 WFPL,0
0,0,Gizbot,0
0,0,DigitalTVEurope.net,0
0,0,KGTV San Diego,0
0,0,Daily Life,0
0,0,TechCrunch,0
0,0,Leesville Daily Leader,0
0,0,Dailyuw,0
0,0,Salem State Log,0
0,0,Whitehouse.gov (press release),0
0,0,Uncover California,0
0,0,The New Daily,0
0,0,National Catholic Register,0
0,0,6 On Your Side,0
0,0,ComputerworldUK,0
0,0,9 to 5 Mac (press release),0
0,0,consortiumnews.com,0
0,0,The Christian Times,0
0,0,Open Democracy,0
0,0,NetGuide NZ,0
0,0,Sydney Morning Herald,0
0,0,News Channel 12 New Bern,0
0,0,Deadline Hollywood,0
0,0,The Daily Vox (blog),0
0,0,Sowetan Live (press release) (registration) (blog),0
0,0,Albany Democrat Herald,0
0,0,Reuters Middle East via Yahoo Maktoob News,0
0,0,Stanly News & Press,0
0,0,Computer World Australia,0
0,0,SQL Server Pro (blog),0
0,0,SiliconANGLE (blog),0
0,0,Campus Watch,0
0,0,ABC News,0
0,0,Duluth News Tribune,0
0,0,Inside World Football,0
0,0,Bundaberg News Mail,0
0,0,The Cerbat Gem,0
0,0,Asbarez Armenian News,0
0,0,Small Business Trends,0
0,0,Parade,0
0,0,Concord Monitor,0
0,0,WKSU News,0
0,0,The Canberra Times,0
0,0,AS/COA Online,0
0,0,Benchmark Monitor,0
0,0,Mashable Tech via Yahoo UK & Ireland News,0
0,0,Game Debate,0
0,0,Bath Chronicle,0
0,0,Eater Seattle,0
0,0,Alternative Information Center (AIC),0
0,0,TravelersToday,0
0,0,TVbytheNumbers,0
0,0,White House Dossier,0
0,0,Redmond Reporter,0
0,0,PCR-online.biz,0
0,0,Heritage.org,0
0,0,Mail Today via Yahoo! India News,0
0,0,L&#39;Atelier,0
0,0,NZ Newswire via Yahoo!7 News,0
0,0,Bowling Green Daily News,0
0,0,Nightcap TV,0
0,0,Aberdeen Press and Journal,0
0,0,Newzy,0
0,0,Books LIVE (blog),0
0,0,WHIO-TV 7 Dayton,0
0,0,Expert Reviews,0
0,0,ITProPortal,0
0,0,Local 10 Miami,0
0,0,Chicago Tonight | WTTW,0
0,0,Socialist Alternative,0
0,0,Calgary Sun,0
0,0,ETF Trends via Yahoo! Finance,0
0,0,TODAYonline,0
0,0,Illawarra Mercury,0
0,0,Lehigh Valley Business,0
0,0,Business Insurance,0
0,0,Salon.com,0
0,0,Nintendo Life,0
0,0,Colombo Gazette,0
0,0,SDSU Newscenter,0
0,0,USgamer (satire) (registration) (blog),0
0,0,Smarter Analyst,0
0,0,GoodCall News (blog),0
0,0,Diverse: Issues in Higher Education,0
0,0,Gazette News,0
0,0,AP via Yahoo!7 News,0
0,0,TriValley Central,0
0,0,Entrepreneur,0
0,0,The Gateway Online,0
0,0,The Weed Blog (blog),0
0,0,TheHostingNews.com (press release) (blog),0
0,0,The Korea Observer,0
0,0,Asheville Citizen-Times,0
0,0,Complex,0
0,0,The Hollywood Reporter via Yahoo! News,0
0,0,IGN Xbox One Games,0
0,0,Construction Week Online,0
0,0,ECB Publishing,0
0,0,Malta Independent Online,0
0,0,"FOX 13 News, Tampa Bay",0
0,0,SmartCompany.com.au,0
0,0,Forbes India,0
0,0,The Columbian,0
0,0,ETCIO.com,0
0,0,Entertainment Weekly,0
0,0,Memphis Flyer,0
0,0,Autoweek,0
0,0,Buying Business Travel,0
0,0,The Washington Times,0
0,0,Sounder At Heart,0
0,0,Comcast SportsNet Philadelphia,0
0,0,StarAfrica.com,0
0,0,News Ghana,0
0,0,Gigaom via Yahoo! Finance,0
0,0,CBS Sports,0
0,0,Trinidad Guardian,0
0,0,Eastbourne Herald,0
0,0,Budapest Business Journal,0
0,0,Payvand,0
0,0,GeekSided,0
0,0,Market Realist via Yahoo!7 Finance,0
0,0,AFP via Yahoo Maktoob News,0
0,0,Daily Journal,0
0,0,stjoechannel.com,0
0,0,Santa Fe New Mexican,0
0,0,British Journal of Photography,0
0,0,WSYM-TV,0
0,0,Comicbook.com,0
0,0,Common Dreams (press release),0
0,0,Dakota Financial News,0
0,0,KDLT News,0
0,0,Agriland,0
0,0,N4BB,0
0,0,Pew Research Center,0
0,0,expressandstar.com,0
0,0,Outlook India,0
0,0,NewsChannel5.com,0
0,0,Forbes via Yahoo! Finance,0
0,0,American Journal of Transportation,0
0,0,Liberal Democrat Voice,0
0,0,WMTV,0
0,0,Manawatu Standard,0
0,0,Cambridge News,0
0,0,Londonist,0
0,0,World Bank Group (blog),0
0,0,ACN Newswire via Yahoo! New Zealand Finance,0
0,0,Mintpress News (blog),0
0,0,Yibada (English Edition),0
0,0,The Coast,0
0,0,Africanews (press release),0
0,0,Bristol Herald Courier,0
0,0,WNAX,0
0,0,Farm Business Communications,0
0,0,Battle Creek Enquirer,0
0,0,OpenDNS Blog (blog),0
0,0,American Center for Law and Justice (blog),0
0,0,WGEM Quincy,0
0,0,bnn.ca,0
