followers,likes,publisher,url
0,0,SocialTimes,0
0,0,AzerNews,0
0,0,Insight via Yahoo Canada Finance,0
0,0,KTOO,0
0,0,WPRO,0
0,0,Business Recorder,0
0,0,Channel 8 San Diego,0
0,0,Urgent Communications,0
0,0,WXIA-TV,0
0,0,The Skanner,0
0,0,TheBlaze.com,0
0,0,RTV Slovenija,0
0,0,Fibre2fashion.com,0
0,0,Newshub,0
0,0,Business Wire via Yahoo! Finance,0
0,0,Citizen TV (press release),0
0,0,Yorkton This Week (press release),0
0,0,Computing,0
0,0,Eagle Radio,0
0,0,HardwareZone,0
0,0,Journal Pioneer,0
0,0,Radio Free Asia,0
0,0,Educators NZ,0
0,0,Mehr News Agency - English Version,0
0,0,Upstate Business Journal,0
0,0,BGR India,0
0,0,Indie Shuffle Music News (blog),0
0,0,Hong Kong Standard,0
0,0,Casper Star-Tribune Online,0
0,0,Post Online,0
0,0,Business Standard (press release) (registration) (blog),0
0,0,info komputer,0
0,0,FrontPage Magazine,0
0,0,Washington Post,0
0,0,Equities.com,0
0,0,14 WFIE Evansville,0
0,0,GCN.com,0
0,0,Sunbury Daily Item,0
0,0,Greenock Telegraph,0
0,0,KIII TV3,0
0,0,Reuters via Yahoo! New Zealand News,0
0,0,Sputnik International,0
0,0,Graham Cluley Security News,0
0,0,CIO Insight,0
0,0,The Ringer (blog),0
0,0,Socialist Worker,0
0,0,Daytona Beach News-Journal,0
0,0,CondÌ´åÌ´å Nast Traveler,0
0,0,WBFO,0
0,0,Venues Today,0
0,0,Beaumont Enterprise,0
0,0,Muscatine Journal,0
0,0,Brampton Guardian,0
0,0,Business Insider Australia,0
0,0,Sporting News,0
0,0,E-Flux,0
0,0,Immortal News,0
0,0,GOOD Magazine,0
0,0,FOX 19 Cincinnati,0
0,0,MarketWatch via Yahoo! News,0
0,0,Akron Beacon Journal,0
0,0,Mobile ID World,0
0,0,Tampabay.com (blog),0
0,0,iamWire,0
0,0,Las Vegas Review-Journal (blog),0
0,0,East Asia Forum,0
0,0,Wisconsin Public Radio News,0
0,0,Washingtonian.com,0
0,0,WLWT Cincinnati,0
0,0,HRHub,0
0,0,Heavy Duty Trucking,0
0,0,Bankrate.com via Yahoo Canada Finance,0
0,0,PetaPixel (blog),0
0,0,Carlsbad Current-Argus,0
0,0,I4U News,0
0,0,"Motorsport.com, Edition: Global",0
0,0,MrTopStep.com via Yahoo! Finance,0
0,0,Chattanooga Times Free Press,0
0,0,Pocket-lint.com,0
0,0,Ludwig von Mises Institute,0
0,0,Green Car Reports,0
0,0,Boxscore,0
0,0,GameZone,0
0,0,Olive Press,0
0,0,Terre Haute Tribune Star,0
0,0,EurekAlert (press release),0
0,0,The Marshalltown,0
0,0,WRAL Tech Wire,0
0,0,PR Newswire (press release),0
0,0,KRGV,0
0,0,Benefits Canada,0
0,0,Associated Press via Yahoo! Singapore Sports,0
0,0,Carlisle Sentinel,0
0,0,North Bay Business Journal,0
0,0,The Guardian Charlottetown,0
0,0,FAIR,0
0,0,Baseline (blog),0
0,0,Liverpool Echo,0
0,0,Amarillo Globe-News,0
0,0,Castanet.net,0
0,0,Money Magazine,0
0,0,CloudWedge,0
0,0,Nevada County Picayune,0
0,0,Orlando Weekly (blog),0
0,0,SportsBusiness Daily (subscription),0
0,0,Las Vegas Review-Journal,0
0,0,CarBuzz,0
0,0,Chicago Daily Herald,0
0,0,Small Business Times,0
0,0,Sandton Chronicle,0
0,0,The News Minute,0
0,0,Med Device Online (press release),0
0,0,WesternSlopeNow,0
0,0,Kill Screen (blog),0
0,0,Energy.gov (blog),0
0,0,Consequence of Sound (blog),0
0,0,Bankrate.com via Yahoo! Finance,0
0,0,Delaware First Media,0
0,0,CommonSpace,0
0,0,CounterPunch,0
0,0,Northampton Chronicle & Echo,0
0,0,Utility Dive,0
0,0,Indo American News,0
0,0,Savannah Morning News,0
0,0,Morning Ticker,0
0,0,Sauk Prairie Eagle,0
0,0,Cyprus Mail,0
0,0,KOAA.com Colorado Springs and Pueblo News,0
0,0,UW Badger Herald,0
0,0,Leader-Telegram,0
0,0,Strategy Page,0
0,0,Charter 97,0
0,0,inTheBay,0
0,0,Junkee,0
0,0,The Auto Channel,0
0,0,Northwest Herald,0
0,0,TechnoBuffalo,0
0,0,Tablet Magazine,0
0,0,Kasmir Monitor,0
0,0,Reuters UK,0
0,0,WFMYNews2.com,0
0,0,DestinyMan,0
0,0,Green Bay Press Gazette,0
0,0,Yahoo New Zealand via Yahoo!7 News,0
0,0,Mobile Choice,0
0,0,Yorkshire Evening Post,0
0,0,The Oklahoma Daily,0
0,0,IDEX Online,0
0,0,"GazetteUnion,com (blog)",0
0,0,CSO Australia,0
0,0,The Cubic Lane,0
0,0,Minnesota Daily,0
0,0,Ozy via Yahoo! News,0
0,0,SuperSite for Windows,0
0,0,EurekAlert!,0
0,0,Brandon Sun,0
0,0,Stevenspointjournal,0
0,0,Aljazeera.com (blog),0
0,0,KnowTechie (blog),0
0,0,"Nathan McAlone, Business Insider via Yahoo! Finance",0
0,0,Carnegie Endowment for International Peace,0
0,0,Zacks via Yahoo! New Zealand Finance,0
0,0,iFiber One,0
0,0,Ultimate-Guitar.Com,0
0,0,Handelsblatt Global Edition (subscription),0
0,0,660 News,0
0,0,Awful Announcing,0
0,0,Twinfinite,0
0,0,plus55 (blog),0
0,0,Out Magazine,0
0,0,Al-Arabiya,0
0,0,Investment Executive,0
0,0,Denver Post,0
0,0,The Conversation US,0
0,0,PC Gamer,0
0,0,East African Business Week,0
0,0,Reuters - UK Focus via Yahoo UK & Ireland Finance,0
0,0,FIBA,0
0,0,Bearing Arms,0
0,0,www.breakbulk.com,0
0,0,Russian Information Agency Novosti,0
0,0,Mobile Today,0
0,0,Gematsu,0
0,0,TCPalm,0
0,0,Ipswich Star,0
0,0,Statesman Journal,0
0,0,TechTarget (blog),0
0,0,Chronicle of Higher Education (subscription),0
0,0,Crain's Chicago Business (blog),0
0,0,The Daily Record,0
0,0,Newsday,0
0,0,BCBusiness,0
0,0,WTOK,0
0,0,OCRegister,0
0,0,Hereford Times,0
0,0,Qantara.de,0
0,0,Business in Vancouver,0
0,0,Luton Today,0
0,0,Economy,0
0,0,PC-Tablet,0
0,0,The Drive,0
0,0,Business Cornwall Magazine,0
0,0,KTTC Rochester,0
0,0,SiliconBeat,0
0,0,San Diego Free Press,0
0,0,BostInno,0
0,0,The State,0
0,0,The Rebel,0
0,0,Reboot Illinois,0
0,0,Parksville Qualicum Beach News,0
0,0,Daily Reckoning - Australian Edition,0
0,0,AOL Money UK,0
0,0,Crain's Chicago Business,0
0,0,Corn and Soybean Digest (blog),0
0,0,Geek,0
0,0,Valley News Live,0
0,0,The Fiscal Times via Yahoo!7 Finance,0
0,0,IBN7,0
0,0,Reuters via Yahoo UK & Ireland News,0
0,0,IANS via Yahoo Maktoob News,0
0,0,DealBreaker,0
0,0,The Nation - Thailand&#39;s English news,0
0,0,TechWorld,0
0,0,African Arguments (registration),0
0,0,Networks Asia,0
0,0,The Cairo Review of Global Affairs (blog),0
0,0,FOX 8 New Orleans,0
0,0,Penn State News,0
0,0,ABC2 News,0
0,0,PR Newswire UK (press release),0
0,0,Thehour.com,0
