TS2,Facebook
0,0
7,722
0,0
330,330
3930,3936
276,276
1001,1005
2965,2977
3102,3116
626,630
743,745
6089,6116
3489,3492
946,946
6541,6548
1014,1016
575,575
2493,2494
2565,2583
316,321
3585,3597
110,110
1312,1312
673,673
2890,2893
2028,2043
509,511
9629,9643
9,9
70,70
12015,12115
1981,1997
760,763
37,37
1465,1466
699,699
13291,13291
23,46
23,1327
3,3
10,10
4,4
4,4
47,47
1492,1514
3,5
335,335
32,32
0,0
2,2
1447,1448
24,24
2,2
0,0
33,34
7,9
0,0
7,7
0,0
1,1
4,5
0,0
3,3
286,309
219,220
130,135
20,20
874,890
886,987
930,966
725,765
3498,3607
85,94
8000,8635
414,432
4458,4880
202,222
20,21
192,224
175,190
206,208
580,592
1630,1748
7208,7298
1463,1479
80,80
6,7
23,26
12,13
2593,3130
12,15
67,74
211,283
7,12
0,0
1,1
82,127
0,0
0,0
0,0
2131,3968
12,13
836,878
64,111
0,3
2,2
261,310
402,574
51,82
9,13
0,2
34,56
39,40
37,518
361,697
65,97
104,164
359,3035
2131,4092
98,109
113,176
589,1023
4694,6536
205,285
23,27
479,837
139,608
325,490
23,24
1,141
418,609
400,930
8,20
1871,4430
948,1346
23,2232
119,205
0,0
33,55
210,360
0,2
29,206
1124,1762
213,639
1539,2746
16,24
27,50
11,24
43,521
99,178
74,179
377,654
129,303
92,220
3,9
1470,3254
66,105
26,93
8,10
0,0
0,0
430,748
187,546
215,281
93,105
2678,7699
300,521
3110,4679
2729,4375
48,140
311,716
426,2196
6476,8185
2325,3476
667,903
23,117
18,22
22,67
43,59
5,8
13,39
15,61
3,237
2,2
0,0
2,3
0,2
89,271
0,0
2106,2502
283,289
17,18
9,10
4409,4592
21,126
22,3631
196,41
8,22
9,21
16,27
0,0
0,0
27,2360
193,853
0,0
0,2
3,6
2,2
1,18
66,503
0,0
17,718
466,905
0,0
1,170
200,335
47,311
3,6
3,245
206,2430
2,4
1,8
2,4
29,106
401,600
15,25
0,0
