viral,prob_False,prob_True
False,0.9982996583,0.0017003444
False,0.9872477651,0.0127522293
False,0.9994769096,0.000523081
False,0.9595837593,0.040416263
True,0.0127719613,0.9872280359
False,0.9546982646,0.0453017242
False,0.7367124557,0.2632875741
True,0.0050187237,0.9949812889
True,0.0068525211,0.9931474924
False,0.8781806827,0.1218193173
False,0.8457362652,0.1542637199
True,0.0051056682,0.9948943257
True,0.0044118157,0.9955881834
False,0.8481354713,0.1518645436
True,0.0075259823,0.9924740195
False,0.7874804735,0.2125195414
False,0.9009148479,0.0990851447
True,0.0105147827,0.9894852042
True,0.01042239,0.9895775914
False,0.9578392506,0.0421607606
True,0.0161125641,0.983887434
False,0.9863826036,0.0136174262
False,0.7743486166,0.2256513834
False,0.856302619,0.143697381
True,0.0002828054,0.999717176
True,0.2202017605,0.7797982097
False,0.9130311012,0.0869689286
True,0.0079193376,0.9920806885
False,0.9976873398,0.0023126809
False,0.9876573086,0.0123426905
True,0.004338698,0.9956613183
False,0.7857046127,0.2142953724
False,0.8458530307,0.1541469842
False,0.9880640507,0.0119359205
False,0.7717762589,0.2282237262
False,0.8480364084,0.1519636065
True,0,1
False,0.9891200662,0.010879958
False,0.934679091,0.0653209165
False,0.999391675,0.0006083472
False,0.9985026121,0.001497361
False,0.9992766976,0.000723306
False,0.9993702173,0.0006297845
False,0.9898754954,0.0101244813
False,0.807228148,0.192771852
False,0.9995456338,0.0004543581
False,0.9570474625,0.0429525599
False,0.9902482033,0.0097518014
False,0.9995535612,0.000446437
False,0.9986765981,0.0013234236
False,0.8384037018,0.1615962833
False,0.9939127564,0.0060872687
False,0.9994055629,0.0005944227
False,0.9994196296,0.0005803735
False,0.9923993349,0.0076006399
False,0.9978964329,0.0021035399
False,0.999204874,0.000795154
False,0.9994770885,0.0005229328
False,0.9995795488,0.0004204549
False,0.9987568855,0.0012431198
False,0.9990662932,0.0009336906
False,0.9995878935,0.0004121285
False,0.9942678809,0.0057320991
False,0.9466990829,0.0533009209
False,0.9650720954,0.0349278748
False,0.9875909686,0.0124090454
False,0.9901459217,0.0098541062
False,0.8388366103,0.1611633897
False,0.8228474855,0.1771525443
False,0.8338648677,0.1661351174
False,0.8483861685,0.1516138017
True,0.0028583549,0.9971416593
False,0.9906536341,0.0093463399
True,0.0024038462,0.9975961447
False,0.9339672923,0.0660326853
True,0.005909455,0.9940905571
False,0.9625448585,0.0374551564
False,0.9903148413,0.0096851317
False,0.9893841743,0.0106158173
False,0.9854397774,0.0145602478
False,0.9671612382,0.0328387432
False,0.9037883282,0.0962117016
True,0.3642711043,0.6357288957
True,0.0729571655,0.9270428419
False,0.8201425672,0.1798574477
False,0.9912935495,0.0087064672
False,0.9993187189,0.0006812891
False,0.9929711819,0.0070287893
False,0.9939454794,0.0060545113
True,0.0251563992,0.9748436213
False,0.9972923994,0.0027076206
False,0.9912624359,0.0087375715
False,0.9578027129,0.0421972573
False,0.999019146,0.0009808636
False,0.9992265701,0.00077344
False,0.9995026588,0.0004973445
False,0.9911401868,0.0088598067
False,0.9995066524,0.0004933184
False,0.9994872212,0.0005127705
False,0.9994846582,0.0005153304
True,0.369120121,0.630879879
False,0.9978612065,0.0021388175
False,0.8261740804,0.1738259196
False,0.991468668,0.0085313302
False,0.9993869662,0.0006130602
False,0.9993607402,0.0006392616
False,0.9568998218,0.0431001633
False,0.9539763331,0.0460236408
False,0.9912575483,0.0087424675
False,0.997602284,0.0023977158
False,0.9993252754,0.0006747004
False,0.9787520766,0.021247901
False,0.9886342287,0.011365762
False,0.9890775681,0.0109224068
False,0.9531952143,0.0468048081
False,0.9874892831,0.0125106955
False,0.9910945892,0.0089054173
False,0.8232803345,0.1767196655
True,0.1970809698,0.8029190302
False,0.9868534803,0.0131465383
False,0.9910280108,0.0089720031
False,0.906121254,0.0938787535
True,0.027876582,0.9721234441
False,0.946157217,0.0538427792
False,0.9900192618,0.0099807559
False,0.9252641797,0.0747358277
False,0.9915665984,0.0084334202
False,0.9455658793,0.0544341169
False,0.9859688282,0.0140311578
False,0.9992572665,0.0007427513
False,0.9463329315,0.0536670685
False,0.9529488683,0.0470511466
False,0.9992397428,0.000760237
True,0.2819165885,0.7180833817
False,0.831060648,0.1689393669
False,0.991912961,0.0080870679
False,0.987172246,0.0128277345
False,0.9963286519,0.0036713555
False,0.9894020557,0.0105979536
False,0.9715003967,0.0284995753
False,0.9994091988,0.0005907757
False,0.9881759286,0.0118240444
False,0.7979581356,0.2020418793
False,0.8658966422,0.1341033578
True,0.2193058431,0.7806941271
False,0.9876050949,0.0123949312
False,0.9885645509,0.0114354379
False,0.9943762422,0.0056237341
False,0.9887657762,0.0112342071
False,0.9731804132,0.0268195737
False,0.9884054661,0.0115945349
False,0.8821018934,0.1178980991
False,0.9874737859,0.0125261927
False,0.9914330244,0.0085669719
False,0.9985325336,0.0014674834
True,0.1638855636,0.8361144066
False,0.9876525402,0.01234747
False,0.989114821,0.0108851576
False,0.9928590655,0.0071409498
False,0.9985460639,0.0014539532
False,0.9994990826,0.0005009238
False,0.9522211552,0.0477788597
False,0.9883598685,0.0116401212
False,0.9650221467,0.0349778458
False,0.9877676964,0.0122323157
True,0.207578823,0.7924211621
False,0.7363967299,0.2636032403
True,0.0068839756,0.9931160212
True,0.0006637271,0.9993363023
False,0.9898543358,0.0101456558
False,0.9436750412,0.0563249663
False,0.8445068002,0.1554932296
True,0.004206731,0.995793283
True,0.0073508583,0.992649138
False,0.8101946115,0.1898053885
False,0.8325030804,0.1674969345
False,0.9900736809,0.0099263294
False,0.990937531,0.0090624979
False,0.9887908697,0.0112091405
False,0.9992482066,0.000751776
False,0.9989566207,0.0010433956
False,0.9950456619,0.0049543492
False,0.9992625713,0.0007374206
False,0.9970235229,0.0029764643
False,0.9992617965,0.0007382029
False,0.9957570434,0.0042429324
False,0.9992681742,0.0007318252
False,0.9713118076,0.0286881812
False,0.9994331598,0.0005668619
True,0.3363695443,0.6636304855
