followers,likes,publisher,url
0,0,Kicker,0
0,0,In Defense of Marxism,0
0,0,MegaGames,0
0,0,FoodNavigator-Asia.com,0
0,0,Naked Capitalism,0
0,0,Climate Central,0
0,0,WDIV Detroit,0
0,0,Voice & Data Online,0
0,0,Entrepreneur via Yahoo Canada Finance,0
0,0,The BRICS Post,0
0,0,The Market Mogul,0
0,0,The Victoria Advocate,0
0,0,Lake Tahoe News,0
0,0,Prague Daily Monitor,0
0,0,SaphirNews.com,0
0,0,NBC NEWS,0
0,0,Dickinson Press,0
0,0,The Tribune,0
0,0,NEWS.com.au,0
0,0,HotNewHipHop,0
0,0,FC Inter.it,0
0,0,The Biloxi Sun Herald,0
0,0,WHDH-TV,0
0,0,Right Side News,0
0,0,Foreign Policy,0
0,0,Tech Page One,0
0,0,MarketingProfs.com (subscription),0
0,0,AFP via Yahoo! News,0
0,0,Human Events,0
0,0,Leafly,0
0,0,The Philadelphia Inquirer,0
0,0,RTÌÎÌ_ News,0
0,0,Central Washington University,0
0,0,Mobile Press-Register,0
0,0,The San Diego Union-Tribune,0
0,0,7Online WSVN-TV,0
0,0,Quartz via Yahoo UK & Ireland Finance,0
0,0,Washington Examiner,0
0,0,Gadgette,0
0,0,Sify News,0
0,0,Macworld,0
0,0,Mississippi News Now,0
0,0,The Advertiser,0
0,0,AngolaPress,0
0,0,Hot Hardware,0
0,0,Daily Kos,0
0,0,Inside Bay Area,0
0,0,Foreign Policy Blogs (blog),0
0,0,Iran News Update,0
0,0,Enterprise Apps Tech,0
0,0,The Daily Free Press,0
0,0,KWTV News9,0
0,0,DailyFX via Yahoo! New Zealand Finance,0
0,0,3News NZ,0
0,0,Meat and Poultry Online,0
0,0,Out-Law,0
0,0,Moneyweb.co.za,0
0,0,Tucson News Now,0
0,0,AFP via Yahoo!7 News,0
0,0,FIFA,0
0,0,UC Davis,0
0,0,Prague Post,0
0,0,optionMONSTER via Yahoo! Finance,0
0,0,The Canadian Press via Yahoo Canada News,0
0,0,Spalding Guardian,0
0,0,Kent Online,0
0,0,The Portugal News,0
0,0,Bright,0
0,0,Runway Girl Network,0
0,0,Nine O&#39;Clock,0
0,0,Gear Junkie (blog),0
0,0,FourFourTwo via Yahoo Canada Sports,0
0,0,Wall Street Journal Blogs,0
0,0,The Elkhart Truth,0
0,0,The Economic Times,0
0,0,The Australian Financial Review,0
0,0,Minneapolis Sun Times,0
0,0,The Mercury,0
0,0,ABC NEWS 4,0
0,0,Post Online (blog),0
0,0,ACN Newswire via Yahoo!7 Finance,0
0,0,Atlanta Intown,0
0,0,Glens Falls Post-Star,0
0,0,Canadian Reviewer,0
0,0,Minyanville.com,0
0,0,KTBS,0
0,0,Cornell University The Cornell Daily Sun,0
0,0,E&T magazine,0
0,0,Douglas Budget,0
0,0,Motor Trend,0
0,0,The Asia Sentinel,0
0,0,The Source,0
0,0,Martins Ferry Times Leader,0
0,0,ninemsn 9Stories,0
0,0,San Francisco Examiner,0
0,0,The Prince Albert Daily Herald,0
0,0,Bangkok Post,0
0,0,Science 2.0,0
0,0,The Northwest Florida Daily News,0
0,0,Workers World,0
0,0,Lowell Sun,0
0,0,LabourList,0
0,0,Metro TV News,0
0,0,MediaPost,0
0,0,Lakenewsonline.com,0
0,0,Hardcore Gamer,0
0,0,The Motley Fool Canada,0
0,0,ladepeche.fr,0
0,0,The Province,0
0,0,DailyFinance,0
0,0,The Verge via Yahoo Canada News,0
0,0,The Daily Mining Gazette,0
0,0,NBC Nebraska,0
0,0,Howard University The District Chronicles,0
0,0,The Globalist,0
0,0,Ames Tribune,0
0,0,Auburn Citizen,0
0,0,Dezeen,0
0,0,Sacramento Bee (blog),0
0,0,Nashville Business Journal,0
0,0,Inside Higher Ed,0
0,0,HipHopDX,0
0,0,Anderson Independent Mail,0
0,0,Journal Gazette and Times-Courier,0
0,0,KOMO News,0
0,0,Your EDM,0
0,0,CBS 2 Los Angeles,0
0,0,U.S. News & World Report (blog),0
0,0,Marketing Interactive,0
0,0,AnandTech,0
0,0,Modern Distribution Management,0
0,0,IANS India Private Limited/Yahoo India News via Yahoo! India News,0
0,0,Honolulu Civil Beat,0
0,0,Money News (press release),0
0,0,IT World,0
0,0,Oilprice.com via Yahoo Canada Finance,0
0,0,Kotaku,0
0,0,Moviefone,0
0,0,MarketWatch,0
0,0,MarieClaire.com,0
0,0,PolitiFact,0
0,0,Florida Flambeau,0
0,0,Al-Monitor,0
0,0,InvestorGuide,0
0,0,Palladium-Item,0
0,0,Apple Insider,0
0,0,"International Business Times, India Edition",0
0,0,CT Post,0
0,0,Hawaii News Now,0
0,0,Trade Calls,0
0,0,Georgia Today,0
0,0,ABC10.com,0
0,0,CNW Group via Yahoo! Finance,0
0,0,KGO-TV Bay Area,0
0,0,Cape Breton Post,0
0,0,WHAS11.com,0
0,0,Flightglobal,0
0,0,Insider Monkey (blog),0
0,0,NCR-Iran.org,0
0,0,Deutsche Welle,0
0,0,Famagusta Gazette,0
0,0,North American Windpower,0
0,0,WIFR,0
0,0,Kiplinger Personal Finance,0
0,0,TeenVogue.com,0
0,0,US Weekly,0
0,0,Wall Street Journal (subscription) (blog),0
0,0,LawNewz,0
0,0,Intermountain Jewish News,0
0,0,CBS Miami,0
0,0,The Nation. (blog),0
0,0,Charleston Gazette-Mail (subscription),0
0,0,Alternative Information Center (AIC) (blog),0
0,0,Geeky Gadgets,0
0,0,Android Police,0
0,0,The Irrawaddy News Magazine,0
0,0,GlobeNewswire via Yahoo! New Zealand Finance,0
0,0,Irvine World News,0
0,0,Morning Journal News,0
0,0,Chilliwack Progress,0
0,0,OSU - The Lantern,0
0,0,National Review Online,0
0,0,Policy Network,0
0,0,NewsGhana.com.gh,0
0,0,ArabianBusiness.com,0
0,0,Wonkette (satire) (blog),0
0,0,South Florida Business Journal,0
0,0,Rappler.com,0
0,0,AgencySpy,0
0,0,Bahrain News Agency,0
0,0,BusinessDay,0
0,0,Japan Today,0
0,0,GlobeNewswire via Yahoo!7 Finance,0
0,0,Russia Beyond the Headlines,0
0,0,EJ Insight,0
0,0,stv.tv,0
0,0,ABC 6 Providence,0
0,0,WUIS 91.9,0
0,0,The Harvard Crimson,0
0,0,The Nation,0
0,0,VnExpress,0
0,0,Disability Scoop,0
0,0,This is Money,0
0,0,PanAm Post (blog),0
0,0,WAPT Jackson,0
0,0,Santa Maria Times (subscription),0
0,0,Let Me Know About This,0
0,0,TeleGeography,0
0,0,PJ Media,0
0,0,Hong Kong Standard (press release),0
0,0,Newsexaminer,0
0,0,Mennonite World Review,0
0,0,Birmingham Mail,0
0,0,The Wall Street Journal via Yahoo Canada Finance,0
0,0,Winnipeg Sun,0
0,0,The VAR Guy,0
0,0,Petra News Agency,0
0,0,ColorLines magazine,0
0,0,Knowledge Wharton Today,0
0,0,BMWBLOG (blog),0
0,0,Tampa Bay Times,0
0,0,Lawrence Journal World (blog),0
0,0,South China Morning Post (subscription),0
0,0,13newsnow.com,0
0,0,RushLimbaugh.com,0
0,0,Fast Company Magazine,0
0,0,CInewsNow,0
0,0,Yahoo News via Yahoo! News,0
0,0,Tablet PC Review,0
0,0,Bitcoin Magazine,0
0,0,Breaking Israel News,0
0,0,MÌ´åÌ´ådecins Sans FrontiÌ´åÌ´åres (MSF) International,0
0,0,MetroNews Canada,0
0,0,9&10 News,0
0,0,WBEZ 91.5 Chicago,0
0,0,The Chicago Maroon,0
0,0,Cycling Weekly,0
0,0,The Bolton News,0
0,0,YourWestValley.com,0
0,0,Billboard,0
0,0,Wired News,0
0,0,Rwanda,0
0,0,Stanford University News,0
0,0,14 News WFIE Evansville,0
0,0,FOX 31 Denver,0
0,0,KIRO 7 Seattle-Tacoma,0
0,0,CBC Newfoundland and Labrador,0
0,0,AllGov,0
0,0,The Daily Reflector,0
0,0,Weyburn Review,0
0,0,WRIC,0
0,0,The New Yorker,0
0,0,Computing.co.uk,0
0,0,Sacramento Bee,0
0,0,Yahoo Sports,0
0,0,KKTV 11 News,0
0,0,Heat Street,0
0,0,WDAY,0
0,0,Market Realist via Yahoo! Finance,0
0,0,ChemicalOnline,0
0,0,WSOC Charlotte,0
0,0,Bloomberg via Yahoo UK & Ireland Finance,0
0,0,Olhar Digital,0
0,0,The Express Tribune,0
0,0,Federal Reserve Bank of San Francisco (blog),0
0,0,WACH.com,0
0,0,smallwarsjournal (blog),0
0,0,KUTV 2News,0
0,0,Olean Times Herald,0
0,0,The Union of Grass Valley,0
0,0,The Financial Express via Yahoo! Finance India,0
0,0,Caixin Media,0
0,0,InStyle,0
0,0,ITBusiness.ca,0
0,0,The Union Leader,0
0,0,Grist,0
0,0,wajr,0
0,0,Ladysmith Gazette,0
0,0,Post and Parcel,0
0,0,KTLA,0
0,0,Sunday Observer,0
0,0,"International Business Times, Singapore Edition",0
0,0,"St, Thomas Source",0
0,0,KOB 4 Albuquerque,0
0,0,Swampland,0
0,0,Amigobulls,0
0,0,The Standard Digital News (satire) (press release) (registration) (blog),0
0,0,Billings Gazette,0
0,0,TheSouthAfrican,0
0,0,Health Affairs (blog),0
0,0,Bunbury Mail,0
0,0,Meridian Booster,0
0,0,Channel Partners,0
0,0,FOX 5 Atlanta,0
0,0,Premium Times,0
0,0,B2B Marketing Online,0
0,0,Drexel University The Triangle Online,0
0,0,DAWN.com,0
0,0,The Hazleton Standard-Speaker,0
0,0,Ars Technica UK,0
0,0,The Week UK,0
0,0,3news,0
0,0,Technology Zimbabwe,0
0,0,Belarus Digest,0
0,0,Salina.com,0
0,0,Fox News,0
0,0,WDTV,0
0,0,Tech2,0
0,0,Hotelier Middle East,0
0,0,Free Press Journal,0
0,0,Toward Freedom,0
0,0,WTSP.com,0
0,0,Eureka Times Standard,0
0,0,American Trade Journal,0
0,0,The Star-Ledger,0
0,0,UK Fundraising,0
0,0,Democracy Now! (blog),0
0,0,BillMoyers.com,0
0,0,Techdirt,0
0,0,Market Realist via Yahoo! New Zealand Finance,0
0,0,FOX Business,0
0,0,Reuters Africa,0
0,0,TCC,0
0,0,Cellular News,0
0,0,Sharekhan,0
0,0,Newser,0
0,0,MENAFN,0
0,0,MSPmentor (blog),0
0,0,eTurboNews,0
0,0,Daily Post Nigeria,0
0,0,Taiwan Today,0
0,0,The Chronicle Herald,0
0,0,BlackNews.com (press release),0
0,0,Lusaka Times,0
0,0,Neos Kosmos,0
0,0,Western Producer (subscription),0
0,0,Memeburn,0
0,0,Equal Times,0
0,0,The Sun Daily,0
0,0,Artesia Daily Press,0
0,0,Traverse City Record Eagle,0
0,0,UKNow (press release),0
0,0,Jeune Afrique,0
0,0,Yahoo Food,0
0,0,ESPN FC (blog),0
0,0,TIME,0
0,0,Columbia Daily Herald,0
0,0,WVLT,0
0,0,Intifada Palestine,0
0,0,NBC Bay Area,0
0,0,Hong Kong Free Press,0
0,0,SlashGear,0
0,0,info-europa,0
0,0,Redmondmag.com (blog),0
0,0,Citizen,0
0,0,Citywire.co.uk,0
0,0,Le Mirabel,0
0,0,CIO,0
0,0,Press and Journal,0
0,0,CBS Minnesota,0
0,0,Tom's Guide,0
0,0,The Wall Street Journal via Yahoo UK & Ireland Finance,0
0,0,Gamasutra,0
0,0,Crain's New York Business,0
0,0,The Henderson Daily News,0
0,0,The Connecticut College Voice,0
0,0,Janesville Gazette,0
0,0,TheCork.ie,0
0,0,SOS Children,0
0,0,WirtschaftsWoche,0
0,0,Oldham Chronicle,0
0,0,Energy Voice,0
0,0,Enough Project,0
0,0,Digital Trends,0
0,0,Business Insider Nordic,0
0,0,USNI News,0
0,0,WAND,0
0,0,SETHLUI.com via Yahoo! Singapore News,0
0,0,Yahoo News via Yahoo Canada News,0
0,0,Stabroek News,0
0,0,NewsFactor Network,0
0,0,Venezuelanalysis.com,0
0,0,Chronicle,0
0,0,The Toledo Blade,0
0,0,Huffington Post UK,0
0,0,WAFF 48 News Huntsville,0
0,0,TechGadgetCentral,0
0,0,The Chicago Monitor,0
0,0,Alyaexpress-News,0
0,0,Church Times,0
0,0,Business Management Daily,0
0,0,WND.com,0
0,0,Lion's Roar,0
0,0,Le Figaro,0
0,0,Thomas Reuters Fondation,0
0,0,EUobserver,0
0,0,KRIS Corpus Christi News,0
0,0,The London News Review,0
0,0,Care2.com,0
0,0,IGN,0
0,0,UChicago News,0
0,0,XÌÎå£Lun.com tin tc vit nam 24h cp nht,0
0,0,LancasterOnline,0
0,0,Hollywood Life,0
0,0,Radio Cadena Agramonte,0
0,0,The Hub at Johns Hopkins,0
0,0,FOX40,0
0,0,Auckland stuff.co.nz,0
0,0,Men&#39;s Journal Tech via Yahoo! News,0
0,0,KPVI News 6,0
0,0,247Sports,0
0,0,Mother Jones,0
0,0,The Rancher,0
0,0,Eagle-Tribune,0
0,0,Goshen News,0
0,0,shanghaidaily,0
0,0,fox5sandiego.com,0
0,0,9NEWS.com,0
0,0,KOCO Oklahoma City,0
0,0,Bend Bulletin,0
0,0,Onrec,0
0,0,Journal Times,0
0,0,Independent Australia,0
0,0,Ten Eyewitness News,0
0,0,Stockton Record (blog),0
0,0,Tallahassee.com,0
0,0,WSB Atlanta,0
0,0,Bristol Press,0
0,0,StepFeed,0
0,0,Men's News Daily,0
0,0,KGNS.tv,0
0,0,WCAX,0
0,0,News.com.au,0
0,0,Motherboard,0
0,0,Newscenter1.tv,0
0,0,Robdailynews,0
0,0,Sault Star,0
0,0,The Jewish Journal of Greater Los Angeles,0
0,0,GenomeWeb,0
0,0,Charlotte Observer,0
0,0,Bankrate.com,0
0,0,Cochrane Times,0
0,0,News West 9 Midland,0
0,0,Hello Beautiful - Interactive One (blog),0
0,0,MicroCap Magazine,0
0,0,Lawrence Berkeley National Laboratory,0
0,0,Cincinnati Business Courier (blog),0
0,0,The Bookseller (blog),0
0,0,AAP via Yahoo! New Zealand Finance,0
0,0,Android Headlines - Android News,0
0,0,Columbus Dispatch,0
0,0,The Sun Herald,0
0,0,DZ Foot,0
0,0,Fabius Maximus website (blog),0
0,0,Cotswold Journal,0
0,0,The Spokesman-Review,0
0,0,Reuters via Yahoo! India News,0
0,0,San Mateo Daily Journal,0
0,0,Financial News (subscription),0
0,0,Alberni Valley News,0
0,0,SpaceRef,0
0,0,GamesIndustry.biz (registration),0
0,0,Microgrid Knowledge,0
0,0,The Bitbag,0
0,0,The Chattanoogan,0
0,0,CloudTech,0
0,0,WhoWhatWhy / RealNewsProject (blog),0
0,0,Boulder Weekly,0
0,0,ArmeniaNow.com,0
0,0,We Up It,0
0,0,Your Hometown Lima Stations,0
0,0,KTVB,0
0,0,KELOLAND TV,0
0,0,Financial Times via Yahoo! New Zealand Finance,0
0,0,Ensia,0
0,0,Benzinga,0
0,0,Jordan Times,0
0,0,IlliniHQ.com,0
0,0,India.com,0
0,0,Mackay Daily Mercury,0
0,0,9news.com.au,0
0,0,SNAPPA Celebrity via Yahoo UK & Ireland News,0
0,0,strategy+business (registration) (blog),0
